,Name,description,Strasse,PLZ,Ort,Beschreibung,Typ,Kategorie,Teilort,lat,lon
2,Käpsele AG,Straße: Lorenzstr. 19<br>PLZ: 76137<br>Ort: Karlsruhe<br>Beschreibung: fischertechnik-AG,Lorenzstr. 19,76137,Karlsruhe,fischertechnik-AG,extra,,,49.001285249999995,8.383600522681519
4,TechnoTHEK,Straße: Karlstraße 10<br>PLZ: 76133<br>Ort: Karlsruhe<br>Beschreibung: fischertechnik-AG,Karlstraße 10,76133,Karlsruhe,fischertechnik-AG,extra,,,49.01118565,8.39473627232248
5,Karlsruher Technik-Initiative,Straße: Haid-und-Neu-Straße 18<br>PLZ: 76131<br>Ort: Karlsruhe<br>Beschreibung: CyberForum e.V.,Haid-und-Neu-Straße 18,76131,Karlsruhe,CyberForum e.V.,extra,,,49.0124946,8.4271216
6,Bismarck-Gymnasium Karlsruhe,Straße: Bismarckstr. 8<br>PLZ: 76133<br>Ort: Karlsruhe<br>Beschreibung: GIRLS‘ DIGITAL CAMPS<br>Kategorie: GDC,Bismarckstr. 8,76133,Karlsruhe,GIRLS‘ DIGITAL CAMPS,girlscamps,GDC,,49.01353795,8.394843389159076
7,Drais-Gemeinschaftsschule,Straße: Tristanstr. 1<br>PLZ: 76185<br>Ort: Karlsruhe<br>Beschreibung: GIRLS‘ DIGITAL CAMPS<br>Kategorie: GDC,Tristanstr. 1,76185,Karlsruhe,GIRLS‘ DIGITAL CAMPS,girlscamps,GDC,,49.0151098,8.3673452
8,Ernst-Reuter-Schule,Straße: Tilsiter Str. 15<br>PLZ: 76139<br>Ort: Karlsruhe<br>Beschreibung: GIRLS‘ DIGITAL CAMPS<br>Kategorie: GDC,Tilsiter Str. 15,76139,Karlsruhe,GIRLS‘ DIGITAL CAMPS,girlscamps,GDC,,49.03153615,8.437041532521864
9,Fichte-Gymnasium Karlsruhe,Straße: Sophienstr. 12 - 16<br>PLZ: 76133<br>Ort: Karlsruhe<br>Beschreibung: GIRLS‘ DIGITAL CAMPS<br>Kategorie: GDC,Sophienstr. 12 - 16,76133,Karlsruhe,GIRLS‘ DIGITAL CAMPS,girlscamps,GDC,,49.0068134,8.393247338283377
10,Goethe Gymnasium Karlsruhe,Straße: Renckstr. 2<br>PLZ: 76133<br>Ort: Karlsruhe<br>Beschreibung: GIRLS‘ DIGITAL CAMPS<br>Kategorie: GDC,Renckstr. 2,76133,Karlsruhe,GIRLS‘ DIGITAL CAMPS,girlscamps,GDC,,49.00386015,8.39596794461073
11,Gymnasium Neureut,Straße: Unterfeldstr. 6<br>PLZ: 76149<br>Ort: Karlsruhe<br>Beschreibung: GIRLS‘ DIGITAL CAMPS<br>Kategorie: GDC,Unterfeldstr. 6,76149,Karlsruhe,GIRLS‘ DIGITAL CAMPS,girlscamps,GDC,,49.04514525,8.378219359001722
12,Humboldt-Gymnasium Karlsruhe,Straße: Wilhelm-Hausenstein-Allee 22<br>PLZ: 76187<br>Ort: Karlsruhe<br>Beschreibung: GIRLS‘ DIGITAL CAMPS<br>Kategorie: GDC,Wilhelm-Hausenstein-Allee 22,76187,Karlsruhe,GIRLS‘ DIGITAL CAMPS,girlscamps,GDC,,49.033622699999995,8.371673020052897
13,Kant-Gymnasium Karlsruhe,Straße: Englerstr. 10<br>PLZ: 76131<br>Ort: Karlsruhe<br>Beschreibung: GIRLS‘ DIGITAL CAMPS<br>Kategorie: GDC,Englerstr. 10,76131,Karlsruhe,GIRLS‘ DIGITAL CAMPS,girlscamps,GDC,,49.01074455,8.410390287930692
14,Lessing-Gymnasium Karlsruhe,Straße: Sophienstr. 147<br>PLZ: 76135<br>Ort: Karlsruhe<br>Beschreibung: GIRLS‘ DIGITAL CAMPS<br>Kategorie: GDC,Sophienstr. 147,76135,Karlsruhe,GIRLS‘ DIGITAL CAMPS,girlscamps,GDC,,49.00781670000001,8.375177019525552
15,Markgrafen-Gymnasium Karlsruhe,Straße: Gymnasiumstraße 1-3<br>PLZ: 76227<br>Ort: Karlsruhe<br>Beschreibung: GIRLS‘ DIGITAL CAMPS<br>Kategorie: GDC,Gymnasiumstraße 1-3,76227,Karlsruhe,GIRLS‘ DIGITAL CAMPS,girlscamps,GDC,,48.998866750000005,8.477738013254744
16,Realschule am Rennbuckel,Straße: Bonner Str. 22<br>PLZ: 76185<br>Ort: Karlsruhe<br>Beschreibung: GIRLS‘ DIGITAL CAMPS<br>Kategorie: GDC,Bonner Str. 22,76185,Karlsruhe,GIRLS‘ DIGITAL CAMPS,girlscamps,GDC,,49.0248733,8.3613744
17,Sophie-Scholl-Realschule,Straße: Joachim-Kurzaj-Weg 4<br>PLZ: 76189<br>Ort: Karlsruhe<br>Beschreibung: GIRLS‘ DIGITAL CAMPS<br>Kategorie: GDC,Joachim-Kurzaj-Weg 4,76189,Karlsruhe,GIRLS‘ DIGITAL CAMPS,girlscamps,GDC,,48.991696000000005,8.36122625639948
18,St. Dominikus Gymnasium,Straße: Seminarstr. 5<br>PLZ: 76133<br>Ort: Karlsruhe<br>Beschreibung: GIRLS‘ DIGITAL CAMPS<br>Kategorie: GDC,Seminarstr. 5,76133,Karlsruhe,GIRLS‘ DIGITAL CAMPS,girlscamps,GDC,,49.013934250000005,8.394341434640484
20,Bergwaldschule Karlsruhe-Durlach,PLZ: 76228<br>Ort: Karlsruhe<br>Straße: Elsa-Brändström-Str. 7<br>Teilort: <br>Beschreibung: fischertechnik-AG<br>Kategorie: Grundschule,Elsa-Brändström-Str. 7,76228,Karlsruhe,fischertechnik-AG,grund,Grundschule,,48.9705777,8.468996201968203
23,Draisschule GHS,PLZ: 76185<br>Ort: Karlsruhe<br>Straße: Tristanstr. 1<br>Teilort: <br>Beschreibung: fischertechnik-AG<br>Kategorie: Grundschule,Tristanstr. 1,76185,Karlsruhe,fischertechnik-AG,grund,Grundschule,,49.0151098,8.3673452
24,Eichendorffschule (GWRS),PLZ: 76139<br>Ort: Karlsruhe<br>Straße: Lötzener Str. 2<br>Teilort: <br>Beschreibung: fischertechnik-AG<br>Kategorie: Grundschule,Lötzener Str. 2,76139,Karlsruhe,fischertechnik-AG,grund,Grundschule,,49.037113899999994,8.44623177955125
